"","ID","URL","Type","Corpus","Date","Dateline","Place","Topic","Title","Body","Notes","Snippet","Context","Summary","Sentiment"
"1","Review: 41 : Amazon Echo - Black","null",0,"Amazon Review","Tue Oct 18 00:00:00 EDT 2016","18-Oct-16","null","Amazon Echo - Black","null","I ordered Echo specifically for musicIve had a huge music library on Amazon for years But it didnt take long after installing Echo to find out that there is now an annual charge for having oversongs so only a small portion of my library is available But OKsince subscription is to be expected these days I decided to pare down my library down to fit and get Echo to play only the songs that are free But I found Alexa will not play them When I ask to play something from my music library it plays unfamiliar songs that I know are not in there If I ask for one of my playlists instead more often than not shell just start playing crappy Prime music When that happens I just keep saying Alexa next until maybetunes later it produces something I can actually tolerate Anotheror so crappy tunes and my blood pressure is rising so I figure its too much work to listen to any more music on Echo I say Alexa stop When I ask for a specific song I might get it to play because its actually in Prime Ive been a Prime shipping member since the beginning But more often I will get a pitch for the Unlimited music atper month and a short sample of the song I wanted to hear to try to upsell me to an expensive service I dont want Ive found that all of the Prime services are quite limited not only Music but Video and Books Its especially hard to find anything of any real value in Booksmostly its stupid romances and mysteries Video has a similar low ratio of classics to dreck Now Ive discovered the same problem exists in Prime Music And compared to Prime services Google Play and Google Search are a pleasure They have enough good content that I use them at work constantly I was expecting something similar for my home from Amazon But back to Echo Another battle I had with Alexa was that I assumed she could hear me at all Its quiet in my small house and my office is just down the hall from her but often I got no response to my voice commands So I figured Ill try using the Fire TV remote device to feed in my commands directly I bought Fire TV initially because of the suggestion somewhere on the web site that it would work with Echo which I planned to buy later I dont particularly like Fire TV but at least it wasnt expensive I could see from the Alexa app how to do the pairing but had no luck so I called Support After a while I was told I have to unpair it for TV and set it to work for the Echo instead so we spent about an hour trying to do that over and over without success I wouldnt mind switching pairing back and forth if it would work so I gave it my best shot Finally I got escalated to the Echo team and learned from that team member that the Fire TV remote will never work Instead I have to buy a remote that is specifically for Echo Already I wasted hours on several support calls trying to get Echo to play my music library then another hour trying to get the Fire TV remote to work and finally I learned it would cost me anotherto get Alexa to hear me if Im in my office only aboutfeet away What a waste for something that shouldnt be necessary in the first place As for troubleshooting the music library several very nice Support team members tried to help me get it to upload I first got a rep who says shed give me a day trial to verify that it would work before I subscribed So I spent a couple of days editing my copy of my library on an extended drive so I could try dragging them into Amazons Musics desktop app to upload them But then the upload from my desktop would not work Instead I got an email that the trial had already expiredin two days instead of thirty Another rep tried to get the trial going but I got another twoday expiration I do have other things to do so I wasnt working on it during those two days So again uploading my meager library did not work I even got a third expired trial but by then I was past caring Actually all of the support reps are very earnest charming polite and accommodating but they seem to have a very small knowledge base to work with There is no documentation available to them much less customers so they have to guess thats probably why it took forever to find out the Fire TV remote wouldnt work The day trials didnt work either but it made sense that there would be a way to accommodate customers who do want to give it a chance before investing heavily in the necessary upsells I guess upper management didnt think of that As noted by other Echo reviewers the bugs are apparently not yet worked out and it seems to me that the support process has apparently been defined only for gardenvariety issues I get the feeling that this product was just released too early and the customer service process was not coordinated with the release to deal with the inevitable problems customers would have with Echo I hope Amazon will learn from this review and fix these problems for others but its too late for me While going through all of these remarkable hassles I was constantly reevaluating my commitment to this device I was deciding whether to spend up tofor what is essentially just a voiceactivated speakerplusfor the subscriptionfor an additional remote But the other services are marginal at best As in the other reviews here I found that Alexa knows practically nothing Bing search engine so getting questions answered successfully is rare Alexa does set a timer and reports the weather competently but I have an iPhone so why would I care about those small conveniences All I really wanted was voiceactivated music If I ever had gotten my library in there on a trial basis Id probably have gone ahead and used it maybe even paid for a subscription though certainly not Unlimited music But Amazons trial software doesnt work yet to show me that my music library would ever work so why should I keep banging my head on the wall trying force Echo to work as advertised Recently I learned that Google is releasing a competitive device in a couple of weeks and the online review says I can easily upload my music library to it and use Google Play and Search instead Plus its going to be about half the price of Echo and considering all the upsells needed to make Echo work it seems like a nobrainer to just give up on Alexa and Echo So sorry Amazon I love youIm one of your oldest customers and have probably spent overon your site sinceBut this product has become a paperweight that I dont even try to use anymore Im sorry to say that its time to throw in the towel and just send it back","null","null",NA,"null","positive"
"2","Review: 309 : Amazon Echo - Black","null",0,"Amazon Review","Sat Jul 02 00:00:00 EDT 2016","2-Jul-16","null","Amazon Echo - Black","null","Echo is well worth the money Alexa tells jokes reports the weather local and abroad shares current events plays music you can hook her up to your iTunes account for a small fee but we decided it wasnt necessary because it was easier to connect her to our free Pandora account instead and creates a shopping list all voice activated so much more efficient than pulling out your phone and typing Set up was very easyjust download the free Amazon Alexa app and follow the instructions I didnt realize the shopping list would go directly to the app on my phone The app also keeps a running newsfeed of what youve recently asked Alexawe like this because our kids LOVE her and we can quickly glance at what they asked her in case it was inappropriate however she doesnt seem to answer inappropriate questions anyway We asked her a dirty joke and she told us a farm animal joke about mud LolWe keep in our kitchen so shes easily accessible Excellent user friendly technology","null","null",NA,"null","positive"
"3","Review: 190 : Amazon Echo - Black","null",0,"Amazon Review","Mon Mar 28 00:00:00 EDT 2016","28-Mar-16","null","Amazon Echo - Black","null","Ive had the Echo for just under a year now and Ive used a lot of features on it Its not as flawless as the commercial naturally It plays music great A simple voice command Alexa play pop music on prime and it will answer you back with an acknowledgement to your request then begin the task It takes some discipline for the kids when they hear the station they dont want not to shout out ALEXA in an attempt to sabotage your brief moment of serenity I did find that the extra features like traffic news and weather werent the best source of information It was often times difficult to actually get Alexa to tell me what I wanted to hear Im not talking about clearing the roadways Im talking about giving me the right information I enjoy the Echo because I got it for the simplicity of playing music without having to connect my music player or leave my phone docked somewhere The sound quality is very good in my opinion and the volume can get too loud for a house at levelYoud have to walk over to the Echo and turn it down by hand because Alexa wont hear you We stick to volumeor below and its served us well Id call it a great radio with a wide range of music sources We enjoy it and we recommend it","null","null",NA,"null","positive"
"4","Review: 417 : Amazon Echo - Black","null",0,"Amazon Review","Fri Feb 19 00:00:00 EST 2016","19-Feb-16","null","Amazon Echo - Black","null","I will give Echostars but I have an issue I live in Hong Kong and I know when I signed on that it was not an international product but after almost year now and still no international support Come on Amazon I am starting the InternationalAlexa hash tag","null","null",NA,"null","negative"
"5","Review: 268 : Amazon Echo - Black","null",0,"Amazon Review","Mon Apr 18 00:00:00 EDT 2016","18-Apr-16","null","Amazon Echo - Black","null","We loved Alexa but recently she has developed a personality all her own She has gotten into base jumping She did it a couple of times and was successful so I think it just went to her head I guess when you are an inanimate object with a super powered brain and you are forced to stand around all day the wind in your cracks and holes would feel invigorating and maybe even dislodge some dust Wellunfortunately she decided to try the big jump recently and we found out that Alexas unlike cats dont always land on their feet She wasnt the same after that jump I think she had a screw loose She started to flip her top Well one more short jump and Alexas lights have dimmed She is currently in a medically induced coma and I dont think anything short of a soddering iron and super glue is going to fix her Alexa just stood too tall and got knocked over too easy When she fell she almost always rolled right for those cliff faces In the future I think a squattier non rolling Alexa is going to be the right move for families with small kids Or maybe the new Alexa babies that you hook to your own speakers will be less inclined to be knocked over","null","null",NA,"null","positive"
"6","Review: 85 : Amazon Echo - Black","null",0,"Amazon Review","Sun Dec 06 00:00:00 EST 2015","6-Dec-15","null","Amazon Echo - Black","null","I have owned and used this formonths now before writing this reviewI wanted to make sure that everything I write on here remained accurate to the best of my ability Pros Unique product with a plethora of wonderful and completely unique combinations of capabilities fast response time once you learn how to ask certain things and read the instructions of each major update you find yourself using it without even thinking I even use it to dress myself occasionallylike asking for different ways to tie a bow tie since I normally wear a standard tie lol flash briefing while getting ready to go to morning meetings and business briefings is a phenomenal time saver with no strain on the eyes each update all auto updates really adds a lot of function and prime continues to add so much more functionality every month I no longer use Spotify Prime music lets me import the music I already own and use their massive library as well Which can be hilariously strange I will admit as they somehow do not have The Beatlesno I am not jokingbut they have over half of the obscure punk bands I grew up loving decades ago Alexa learns quite a lot of subtle things If I say her name in a sentence now this took a few months she will not respond unnecessarily However if I open with Alexa she will always respond I still get the occasional unwanted response from her but she has never once failed to respond when I called her I avoid so many arguments with my wife now because of Alexas shopping list function and the iOSandroid appalso the built in ToDo lists Happy wife happy life Enough said tech wise the speaker on the Echo is phenomenal It sounds better than theVizio Soundbar thats mounted to the tv in our home office The degree sound and deep bass is SO good for any genre of music You dont get any peakage or distortion no matter how heavy the bass or how high the treblealso mids are completely clear audible and articulate I could not be happier with the sound quality smart home integration is superb if you buy the other items after Echo to ensure compatibility Cons while this item has Bluetooth capabilities they have been very unnecessarily and frustratingly limited because I assume they think that following the business model of Microsoft and Mac to make frustrating proprietary crap in the worst possible ways is a smart ideaits not If I could integrate this with other Bluetooth devices aside from the phones that are running Alexa App and the Amazon Prime Music Appthis device would literally be perfect For example being able to use Bluetooth stereo headphonesmic while Im in the office or even a remote Bluetooth speaker for another room They tried with their remote to at least do SOMETHING but its always out of stock and it really should be included with the base uniteven if it makes the priceinstead ofAlso as someone who is a huge technophile does pretty much all of my computing from a terminal emulator the fact that Amazon had support for Linux with their Prime Music and other apps for so longand has now REMOVED that supportabsolutely infuriates me Open source is the future it doesnt matter how many decades the old men Gates and co try to drag their heels","null","null",NA,"null","positive"
"7","Review: 443 : Amazon Echo - Black","null",0,"Amazon Review","Sat Jan 16 00:00:00 EST 2016","16-Jan-16","null","Amazon Echo - Black","null","Alexas reading from Kindle books is wooden fast and unpleasant In most things Ive asked of Alexa I am happy pleased and even promote it to others I like the features like tell me the time or when to the Seahawks play football this week or wake me inminutes however I am a big reader and was delighted to imagine it might read my most recent book while Im doing dishes etc Tried it and stopped withinminutes She reads a bit too fast with wooden voice inflections When she sees why she assumes it is a question even if the context is not a question Yuk Not doing that ever again Ill have Audiocom read my books to me through my iPhone with ear buds Awkward with the wires but oh well much more enjoyable","null","null",NA,"null","positive"
"8","Review: 429 : Amazon Echo - Black","null",0,"Amazon Review","Tue Aug 25 00:00:00 EDT 2015","25-Aug-15","null","Amazon Echo - Black","null","Lets just start by saying that I love Echo aka Alexa This is the first step towards a fully connected home Sure for now shes great for things like playing the radio Alexa play WXPN radio news updates or for cooking timers and various alarms I rarely use the todo list feature and never user the shopping lists but who cares about those anyway I want to be able to say Alexa turn off the office lights and have her do just that and I know thats possible with some new connected wall switches Where I think the real power of this device will eventually show up is with deeper home automation Id really love to be able to do the followingAlexa Turn on the TVAlexa Mute the TVAlexa Change TV to RokuAlexa Change TV to DVDAlexa Pause the TV and have it know whether Im watching TiVo Roku or my DVD playerAlexa Water the Garden forhourAlexa Make me Dinner OK maybe thats asking too much but not after watching Humans Hopefully more app and device developers will step in to build hooks for connected devices including IR blasters so that we can really use Alexa as our the main hub in an automated home","null","null",NA,"null","positive"
"9","Review: 44 : Amazon Echo - Black","null",0,"Amazon Review","Fri Aug 14 00:00:00 EDT 2015","14-Aug-15","null","Amazon Echo - Black","null","If you regularly use Siri or Google Now you will probably not be very impressed with Echo It is simply not ready for prime time right now I will gladly change my review in time but it needs tighter integration with Search it needs to let developers add plugins for it so it can integrate with more of what is on my phone and what is on the web Too many times Alexa replies Hmmm I dont think I understand or I cant find the answer to that it becomes unreliable and moves from being a goto device So basically right now the kids ask it jokes I add things to my grocery list listen to a little music and once and a while set a timer","null","null",NA,"null","positive"
"10","Review: 438 : Amazon Echo - Black","null",0,"Amazon Review","Sat Jan 16 00:00:00 EST 2016","16-Jan-16","null","Amazon Echo - Black","null","This has amazing potential It has fine sound quality and the voice recognition isnt half bad Amazon music streaming leaves a lot to be desired and this really cant be used in the same role that manywireless speakers can be used So much potential but right now they need to open it up","null","null",NA,"null","positive"
